TransactionId,RequestId,TerminalId,PartnerObjectId,AmountTotal,AmountOriginal,CommissionPS,CommissionClient,CommissionProvider,DateInput,DatePost,Status,PaymentType,PaymentNumber,ServiceId,Service,PayeeId,PayeeName,PayeeBankMfo,PayeeBankAccount,PaymentNarrative
11,20120,3516,1111,119.00,119.00,0.08,0.00,-0.24,2022-08-23 9:03:52,2022-08-23 12:03:52,accepted,cash,PS16698305,14080,Поповнення карток,15233155,privat,264761,UA713550970919423,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
12,20130,3517,1111,119.00,119.00,0.08,0.00,-0.24,2022-08-23 9:04:06,2022-08-23 12:04:07,accepted,cash,PS16698315,14090,Поповнення карток,15333255,pumb,265762,UA713560930619413,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
13,20140,3518,1111,913.00,913.00,0.64,0.00,-1.83,2022-08-23 9:04:20,2022-08-23 12:04:21,accepted,cash,PS16698325,14100,Поповнення карток,15433355,privat,266763,UA713570890319403,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
14,20150,3519,1111,1349.00,1349.00,0.94,0.00,-2.70,2022-08-23 9:02:25,2022-08-23 12:02:26,accepted,cash,PS16698335,14110,Поповнення карток,15533455,privat,267764,UA713580850019393,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
15,20160,3520,1111,770.00,770.00,0.54,0.00,-1.54,2022-08-23 8:59:41,2022-08-23 11:59:42,accepted,cash,PS16698345,14120,Поповнення карток,15633555,privat,268765,UA713590809719383,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
16,20170,3521,1111,120.00,120.00,0.08,0.00,-0.24,2022-08-23 8:59:55,2022-08-23 11:59:56,accepted,cash,PS16698355,14130,Поповнення карток,15733655,oschad,269766,UA713600769419373,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
17,20180,3522,1111,120.00,120.00,0.08,0.00,-0.24,2022-08-23 8:58:02,2022-08-23 11:58:02,accepted,cash,PS16698365,14140,Поповнення карток,15833755,privat,270767,UA713610729119363,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
18,20190,3523,1111,120.00,120.00,0.08,0.00,-0.24,2022-08-23 8:58:16,2022-08-23 11:58:16,accepted,cash,PS16698375,14150,Поповнення карток,15933855,privat,271768,UA713620688819353,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
19,20200,3524,1111,120.00,120.00,0.08,0.00,-0.24,2022-08-23 8:58:30,2022-08-23 11:58:30,accepted,cash,PS16698385,14160,Поповнення карток,16033955,privat,272769,UA713630648519343,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
20,20210,3525,1111,499.00,499.00,0.35,0.00,-1.00,2022-08-23 8:54:34,2022-08-23 11:54:35,accepted,card,PS16698395,14170,Поповнення карток,16134055,privat,273770,UA713640608219333,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
21,20220,3526,1111,1399.00,1399.00,0.98,0.00,-2.80,2022-08-23 8:54:49,2022-08-23 11:54:49,accepted,cash,PS16698405,14180,Поповнення карток,16234155,privat,274771,UA713650567919323,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
22,20230,3527,1111,122.00,122.00,0.09,0.00,-0.24,2022-08-23 8:55:03,2022-08-23 11:55:04,accepted,cash,PS16698415,14190,Поповнення карток,16334255,privat,275772,UA713660527619313,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
23,20240,3528,1111,1933.00,1933.00,1.35,0.00,-3.87,2022-08-23 8:55:17,2022-08-23 11:55:18,accepted,cash,PS16698425,14200,Поповнення карток,16434355,privat,276773,UA713670487319303,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
24,20250,3529,1111,708.00,708.00,0.50,0.00,-1.42,2022-08-23 8:58:44,2022-08-23 11:58:44,accepted,cash,PS16698435,14210,Поповнення карток,16534455,privat,277774,UA713680447019293,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
25,20260,3530,1111,2758.00,2758.00,1.93,0.00,-5.52,2022-08-23 9:08:24,2022-08-23 12:08:25,accepted,cash,PS16698445,14220,Поповнення карток,16634555,privat,278775,UA713690406719283,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
26,20270,3531,1111,3339.00,3339.00,2.34,0.00,-6.68,2022-08-23 9:09:33,2022-08-23 12:09:34,accepted,cash,PS16698455,14230,Поповнення карток,16734655,oschad,279776,UA713700366419273,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
27,20280,3532,1111,3.00,3.00,0.00,0.00,-0.01,2022-08-23 9:09:47,2022-08-23 12:09:48,accepted,cash,PS16698465,14240,Поповнення карток,16834755,privat,280777,UA713710326119263,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
28,20290,3533,1111,799.00,799.00,0.56,0.00,-1.60,2022-08-23 8:47:02,2022-08-23 11:47:03,accepted,cash,PS16698475,14250,Поповнення карток,16934855,privat,281778,UA713720285819253,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
29,20300,3534,1111,395.00,395.00,0.28,0.00,-0.79,2022-08-23 8:47:18,2022-08-23 11:47:18,accepted,cash,PS16698485,14260,Поповнення карток,17034955,privat,282779,UA713730245519243,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
30,20310,3535,1111,4052.00,4052.00,2.84,0.00,-8.10,2022-08-23 8:43:23,2022-08-23 11:43:23,accepted,cash,PS16698495,14270,Поповнення карток,17135055,privat,283780,UA713740205219233,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
31,20320,3536,1111,273.00,273.00,0.19,0.00,-0.55,2022-08-23 8:43:37,2022-08-23 11:43:37,accepted,cash,PS16698505,14280,Поповнення карток,17235155,privat,284781,UA713750164919223,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
32,20330,3537,1111,1299.00,1299.00,0.91,0.00,-2.60,2022-08-23 8:43:50,2022-08-23 11:43:51,accepted,cash,PS16698515,14290,Поповнення карток,17335255,privat,285782,UA713760124619213,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
33,20340,3538,1111,1699.00,1699.00,1.19,0.00,-3.40,2022-08-23 9:07:15,2022-08-23 12:07:15,accepted,cash,PS16698525,14300,Поповнення карток,17435355,privat,286783,UA713770084319203,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
34,20350,3539,1111,1091.00,1091.00,0.76,0.00,-2.18,2022-08-23 9:07:29,2022-08-23 12:07:29,accepted,cash,PS16698535,14310,Поповнення карток,17535455,privat,287784,UA713780044019193,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
35,20360,3540,1111,1799.00,1799.00,1.26,0.00,-3.60,2022-08-23 9:07:42,2022-08-23 12:07:43,accepted,cash,PS16698545,14320,Поповнення карток,17635555,privat,288785,UA713790003719183,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
36,20370,3541,1111,1379.00,1379.00,0.97,0.00,-2.76,2022-08-23 9:05:56,2022-08-23 12:05:56,accepted,cash,PS16698555,14330,Поповнення карток,17735655,pumb,289786,UA713799963419173,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
37,20380,3542,1111,1399.00,1399.00,0.98,0.00,-2.80,2022-08-23 9:06:10,2022-08-23 12:06:10,declined,card,PS16698565,14340,Поповнення карток,17835755,privat,290787,UA713809923119163,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
38,20390,3543,1111,348.00,348.00,0.24,0.00,-0.70,2022-08-23 8:53:21,2022-08-23 11:53:21,accepted,cash,PS16698575,14350,Поповнення карток,17935855,privat,291788,UA713819882819153,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
39,20400,3544,1111,1799.00,1799.00,1.26,0.00,-3.60,2022-08-23 8:53:34,2022-08-23 11:53:35,accepted,cash,PS16698585,14360,Поповнення карток,18035955,privat,292789,UA713829842519143,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
40,20410,3545,1111,609.00,609.00,0.43,0.00,-1.22,2022-08-23 8:53:49,2022-08-23 11:53:49,accepted,cash,PS16698595,14370,Поповнення карток,18136055,privat,293790,UA713839802219133,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
41,20420,3546,1111,4999.00,4999.00,3.50,0.00,-10.00,2022-08-23 8:55:38,2022-08-23 11:55:39,accepted,cash,PS16698605,14380,Поповнення карток,18236155,pumb,294791,UA713849761919123,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
42,20430,3547,1111,719.00,719.00,0.50,0.00,-1.44,2022-08-23 8:55:52,2022-08-23 11:55:53,accepted,cash,PS16698615,14390,Поповнення карток,18336255,privat,295792,UA713859721619113,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
43,20440,3548,1111,2199.00,2199.00,1.54,0.00,-4.40,2022-08-23 8:57:15,2022-08-23 11:57:15,accepted,cash,PS16698625,14400,Поповнення карток,18436355,privat,296793,UA713869681319103,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
44,20450,3549,1111,1809.00,1809.00,1.27,0.00,-3.62,2022-08-23 8:57:29,2022-08-23 11:57:30,accepted,cash,PS16698635,14410,Поповнення карток,18536455,privat,297794,UA713879641019093,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
45,20460,3550,1111,416.00,416.00,0.29,0.00,-0.83,2022-08-23 8:57:43,2022-08-23 11:57:44,accepted,cash,PS16698645,14420,Поповнення карток,18636555,privat,298795,UA713889600719083,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
46,20470,3551,1111,1149.00,1149.00,0.80,0.00,-2.30,2022-08-23 9:02:53,2022-08-23 12:02:54,declined,cash,PS16698655,14430,Поповнення карток,18736655,privat,299796,UA713899560419073,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
47,20480,3552,1111,1229.00,1229.00,0.86,0.00,-2.46,2022-08-23 9:03:07,2022-08-23 12:03:08,accepted,cash,PS16698665,14440,Поповнення карток,18836755,privat,300797,UA713909520119063,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
48,20490,3553,1111,1199.00,1199.00,0.84,0.00,-2.40,2022-08-23 9:03:24,2022-08-23 12:03:24,accepted,cash,PS16698675,14450,Поповнення карток,18936855,privat,301798,UA713919479819053,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
49,20500,3554,1111,1229.00,1229.00,0.86,0.00,-2.46,2022-08-23 8:58:58,2022-08-23 11:58:59,accepted,cash,PS16698685,14460,Поповнення карток,19036955,privat,302799,UA713929439519043,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
50,20510,3555,1111,876.00,876.00,0.61,0.00,-1.75,2022-08-23 8:59:12,2022-08-23 11:59:12,accepted,cash,PS16698695,14470,Поповнення карток,19137055,privat,303800,UA713939399219033,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
51,20520,3556,1111,1899.00,1899.00,1.33,0.00,-3.80,2022-08-23 9:04:49,2022-08-23 12:04:50,accepted,cash,PS16698705,14480,Поповнення карток,19237155,privat,304801,UA713949358919023,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
52,20530,3557,1111,799.00,799.00,0.56,0.00,-1.60,2022-08-23 9:05:07,2022-08-23 12:05:08,accepted,cash,PS16698715,14490,Поповнення карток,19337255,privat,305802,UA713959318619013,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
53,20540,3558,1111,999.00,999.00,0.70,0.00,-2.00,2022-08-23 9:09:06,2022-08-23 12:09:06,accepted,cash,PS16698725,14500,Поповнення карток,19437355,privat,306803,UA713969278319003,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
54,20550,3559,1111,2299.00,2299.00,1.61,0.00,-4.60,2022-08-23 9:09:19,2022-08-23 12:09:20,accepted,cash,PS16698735,14510,Поповнення карток,19537455,privat,307804,UA713979238018993,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
55,20560,3560,1111,4983.00,4983.00,3.49,0.00,-9.97,2022-08-23 9:10:01,2022-08-23 12:10:02,declined,cash,PS16698745,14520,Поповнення карток,19637555,privat,308805,UA713989197718983,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
56,20570,3561,1111,1999.00,1999.00,1.40,0.00,-4.00,2022-08-23 8:19:21,2022-08-23 11:19:22,accepted,cash,PS16698755,14530,Поповнення карток,19737655,pumb,309806,UA713999157418973,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
57,20580,3562,1111,3049.00,3049.00,2.13,0.00,-6.10,2022-08-23 8:51:44,2022-08-23 11:51:45,accepted,cash,PS16698765,14540,Поповнення карток,19837755,privat,310807,UA714009117118963,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
58,20590,3563,1111,205.00,205.00,0.14,0.00,-0.41,2022-08-23 8:50:34,2022-08-23 11:50:35,accepted,cash,PS16698775,14550,Поповнення карток,19937855,privat,311808,UA714019076818953,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
59,20600,3564,1111,649.00,649.00,0.45,0.00,-1.30,2022-08-23 8:50:48,2022-08-23 11:50:49,accepted,cash,PS16698785,14560,Поповнення карток,20037955,privat,312809,UA714029036518943,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
60,20610,3565,1111,302.00,302.00,0.21,0.00,-0.60,2022-08-23 8:44:54,2022-08-23 11:44:55,accepted,cash,PS16698795,14570,Поповнення карток,20138055,privat,313810,UA714038996218933,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
61,20620,3566,1111,1739.00,1739.00,1.22,0.00,-3.48,2022-08-23 8:45:10,2022-08-23 11:45:10,accepted,cash,PS16698805,14580,Поповнення карток,20238155,privat,314811,UA714048955918923,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
62,20630,3567,1111,1235.00,1235.00,0.86,0.00,-2.47,2022-08-23 8:45:49,2022-08-23 11:45:49,accepted,cash,PS16698815,14590,Поповнення карток,20338255,pumb,315812,UA714058915618913,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
63,20640,3568,1111,1152.00,1152.00,0.81,0.00,-2.30,2022-08-23 8:46:03,2022-08-23 11:46:03,accepted,cash,PS16698825,14600,Поповнення карток,20438355,privat,316813,UA714068875318903,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
64,20650,3569,1111,269.00,269.00,0.19,0.00,-0.54,2022-08-23 8:42:51,2022-08-23 11:42:51,declined,cash,PS16698835,14610,Поповнення карток,20538455,privat,317814,UA714078835018893,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
65,20660,3570,1111,355.00,355.00,0.25,0.00,-0.71,2022-08-23 8:44:05,2022-08-23 11:44:05,accepted,cash,PS16698845,14620,Поповнення карток,20638555,privat,318815,UA714088794718883,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
66,20670,3571,1111,149.00,149.00,0.10,0.00,-0.30,2022-08-23 8:44:20,2022-08-23 11:44:21,accepted,card,PS16698855,14630,Поповнення карток,20738655,privat,319816,UA714098754418873,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
67,20680,3572,1111,1299.00,1299.00,0.91,0.00,-2.60,2022-08-23 8:41:48,2022-08-23 11:41:49,accepted,cash,PS16698865,14640,Поповнення карток,20838755,privat,320817,UA714108714118863,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
68,20690,3573,1111,1599.00,1599.00,1.12,0.00,-3.20,2022-08-23 8:42:04,2022-08-23 11:42:05,accepted,cash,PS16698875,14650,Поповнення карток,20938855,privat,321818,UA714118673818853,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
69,20700,3574,1111,388.00,388.00,0.27,0.00,-0.78,2022-08-23 8:42:18,2022-08-23 11:42:19,accepted,cash,PS16698885,14660,Поповнення карток,21038955,privat,322819,UA714128633518843,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
70,20710,3575,1111,549.00,549.00,0.38,0.00,-1.10,2022-08-23 8:42:33,2022-08-23 11:42:33,accepted,cash,PS16698895,14670,Поповнення карток,21139055,privat,323820,UA714138593218833,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
71,20720,3576,1111,1599.00,1599.00,1.12,0.00,-3.20,2022-08-23 8:52:17,2022-08-23 11:52:17,accepted,cash,PS16698905,14680,Поповнення карток,21239155,privat,324821,UA714148552918823,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
72,20730,3577,1111,1090.00,1090.00,0.76,0.00,-2.18,2022-08-23 8:52:31,2022-08-23 11:52:32,accepted,cash,PS16698915,14690,Поповнення карток,21339255,privat,325822,UA714158512618813,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
73,20740,3578,1111,1399.00,1399.00,0.98,0.00,-2.80,2022-08-23 8:49:19,2022-08-23 11:49:20,accepted,cash,PS16698925,14700,Поповнення карток,21439355,privat,326823,UA714168472318803,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
74,20750,3579,1111,115.00,115.00,0.08,0.00,-0.23,2022-08-23 8:49:37,2022-08-23 11:49:37,accepted,cash,PS16698935,14710,Поповнення карток,21539455,privat,327824,UA714178432018793,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
75,20760,3580,1111,4030.00,4030.00,2.82,0.00,-8.06,2022-08-23 8:49:50,2022-08-23 11:49:51,accepted,cash,PS16698945,14720,Поповнення карток,21639555,oschad,328825,UA714188391718783,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
76,20770,3581,1111,3099.00,3099.00,2.17,0.00,-6.20,2022-08-23 8:40:34,2022-08-23 11:40:35,accepted,cash,PS16698955,14730,Поповнення карток,21739655,privat,329826,UA714198351418773,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
77,20780,3582,1111,1979.00,1979.00,1.39,0.00,-3.96,2022-08-23 8:40:55,2022-08-23 11:40:56,declined,card,PS16698965,14740,Поповнення карток,21839755,privat,330827,UA714208311118763,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
78,20790,3583,1111,59.00,59.00,0.04,0.00,-0.12,2022-08-23 9:06:23,2022-08-23 12:06:24,accepted,cash,PS16698975,14750,Поповнення карток,21939855,privat,331828,UA714218270818753,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
79,20800,3584,1111,669.00,669.00,0.47,0.00,-1.34,2022-08-23 9:06:46,2022-08-23 12:06:47,accepted,cash,PS16698985,14760,Поповнення карток,22039955,privat,332829,UA714228230518743,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
80,20810,3585,1111,1699.00,1699.00,1.19,0.00,-3.40,2022-08-23 9:07:00,2022-08-23 12:07:00,accepted,cash,PS16698995,14770,Поповнення карток,22140055,privat,333830,UA714238190218733,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
81,20820,3586,1111,1609.00,1609.00,1.13,0.00,-3.22,2022-08-23 9:07:56,2022-08-23 12:07:56,accepted,cash,PS16699005,14780,Поповнення карток,22240155,privat,334831,UA714248149918723,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
82,20830,3587,1111,1249.00,1249.00,0.87,0.00,-2.50,2022-08-23 9:08:10,2022-08-23 12:08:10,accepted,cash,PS16699015,14790,Поповнення карток,22340255,oschad,335832,UA714258109618713,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
83,20840,3588,1111,2589.00,2589.00,1.81,0.00,-5.18,2022-08-23 9:01:31,2022-08-23 12:01:32,accepted,cash,PS16699025,14800,Поповнення карток,22440355,privat,336833,UA714268069318703,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
84,20850,3589,1111,2465.00,2465.00,1.73,0.00,-4.93,2022-08-23 9:01:56,2022-08-23 12:01:56,accepted,cash,PS16699035,14810,Поповнення карток,22540455,privat,337834,UA714278029018693,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
85,20860,3590,1111,1099.00,1099.00,0.77,0.00,-2.20,2022-08-23 9:02:10,2022-08-23 12:02:11,accepted,cash,PS16699045,14820,Поповнення карток,22640555,privat,338835,UA714287988718683,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
86,20870,3591,1111,2399.00,2399.00,1.68,0.00,-4.80,2022-08-23 9:02:39,2022-08-23 12:02:40,accepted,cash,PS16699055,14830,Поповнення карток,22740655,privat,339836,UA714297948418673,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
87,20880,3592,1111,87.00,87.00,0.06,0.00,-0.17,2022-08-23 8:56:20,2022-08-23 11:56:20,accepted,cash,PS16699065,14840,Поповнення карток,22840755,privat,340837,UA714307908118663,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
88,20890,3593,1111,3194.00,3194.00,2.24,0.00,-6.39,2022-08-23 8:56:33,2022-08-23 11:56:34,accepted,card,PS16699075,14850,Поповнення карток,22940855,privat,341838,UA714317867818653,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
89,20900,3594,1111,179.00,179.00,0.13,0.00,-0.36,2022-08-23 8:48:01,2022-08-23 11:48:01,declined,cash,PS16699085,14860,Поповнення карток,23040955,privat,342839,UA714327827518643,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
90,20910,3595,1111,139.00,139.00,0.10,0.00,-0.28,2022-08-23 8:48:15,2022-08-23 11:48:15,accepted,cash,PS16699095,14870,Поповнення карток,23141055,privat,343840,UA714337787218633,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
91,20920,3596,1111,2799.00,2799.00,1.96,0.00,-5.60,2022-08-23 8:50:04,2022-08-23 11:50:05,accepted,cash,PS16699105,14880,Поповнення карток,23241155,privat,344841,UA714347746918623,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
92,20930,3597,1111,549.00,549.00,0.38,0.00,-1.10,2022-08-23 8:50:20,2022-08-23 11:50:21,accepted,cash,PS16699115,14890,Поповнення карток,23341255,privat,345842,UA714357706618613,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
93,20940,3598,1111,1299.00,1299.00,0.91,0.00,-2.60,2022-08-23 8:41:20,2022-08-23 11:41:20,accepted,cash,PS16699125,14900,Поповнення карток,23441355,privat,346843,UA714367666318603,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
94,20950,3599,1111,1199.00,1199.00,0.84,0.00,-2.40,2022-08-23 8:41:34,2022-08-23 11:41:35,accepted,cash,PS16699135,14910,Поповнення карток,23541455,privat,347844,UA714377626018593,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
95,20960,3600,1111,963.00,963.00,0.67,0.00,-1.93,2022-08-23 8:47:33,2022-08-23 11:47:33,accepted,cash,PS16699145,14920,Поповнення карток,23641555,privat,348845,UA714387585718583,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
96,20970,3601,1111,2299.00,2299.00,1.61,0.00,-4.60,2022-08-23 8:47:47,2022-08-23 11:47:47,accepted,cash,PS16699155,14930,Поповнення карток,23741655,oschad,349846,UA714397545418573,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
97,20980,3602,1111,1499.00,1499.00,01.05,0.00,-3.00,2022-08-23 8:46:17,2022-08-23 11:46:18,accepted,cash,PS16699165,14940,Поповнення карток,23841755,privat,350847,UA714407505118563,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
98,20990,3603,1111,660.00,660.00,0.46,0.00,-1.32,2022-08-23 8:46:31,2022-08-23 11:46:32,accepted,cash,PS16699175,14950,Поповнення карток,23941855,privat,351848,UA714417464818553,Перерахування коштів згідно договору про надання послуг А11/27123 від 19.11.2020 р.
99,21000,3604,1111,775.00,775.00,0.54,0.00,-1.55,2022-08-23 8:46:45,2022-08-23 11:46:46,accepted,cash,PS16699185,14960,Поповнення карток,24041955,privat,352849,UA714427424518543,Перерахування коштів згідно договору про надання послуг А11/27122 від 19.11.2020 р.
